,config.variables.CHANNEL_24,country,config.variables.SHUTDOWN_24,description,msn,type,config.variables.CHANNEL_5,mac,network,config.variables.VLAN_1_IP,config.variables.POWER_5,status_time,config.variables.VLAN_1_PREFIX6,config.variables.DISPLAY_NAME,tower,config.variables.VLAN_1_IP6,product,managed_account,location.type,ap_group,ip,config.variables.DEFAULT_GW6,config.variables.VLAN_1_MASK,config.variables.POWER_24,config.variables.VLAN_1_MODE6,config.variables.LOCATION,config.version,config.variables.VLAN_1_MODE,site,registration_date,@timestamp,config.variables.DNS_SERVER6_2,config.variables.DNS_SERVER_2,config.variables.DNS_SERVER6_1,config.variables.DNS_SERVER_1,name,site_id,location.coordinates,config.variables.SHUTDOWN_5,config.variables.DEFAULT_GW,status
370,,CO,,31307-ZGYO964-AP-EXT1,W8WL03H057JG,wifi-enterprise,,BC:A9:93:00:31:1D,CORDOBA,,,52593.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.122.77,,,,,,1,,31307-ZGYO964 BUENAVISTA VILLA FATIMA,2021-04-30 15:09:03,2021-06-21T09:48:13.818332,,,,,31307-ZGYO964-AP-EXT1,31307-ZGYO964,-75.618854,,,offline
371,,CO,,,W8TL0324P30W,wifi-enterprise,,58:C1:7A:0A:9B:7D,CORDOBA,,,866856.0,,,,,cnPilot e410,,Point,INDOOR,172.25.39.243,,,,,,,,31613-ZGYO314 LORICA VDA EL ARROLLO,2021-05-03 11:35:31,2021-06-21T09:48:13.818332,,,,,31613-ZGYO314-AP-INT,31613-ZGYO314,3.6754755,,,offline
372,,CO,,,W8WK04TLXZ54,wifi-enterprise,,BC:E6:7C:EC:DD:A1,ANTIOQUIA,,,2766369.0,,,,,cnPilot e410,,Point,INDOOR_74382-ZGYO172,172.28.118.75,,,,,,,,74382-ZGYO172 NECOCLI EL TIGRE,2021-05-03 12:05:42,2021-06-21T09:48:13.818332,,,,,74382-ZGYO172_AP_INT,74382-ZGYO172,-75.618854,,,offline
373,,CO,,,W8WE064S85MX,wifi-enterprise,,BC:E6:7C:4E:3D:E5,ANTIOQUIA,,,2766370.0,,,,,cnPilot e510,,Point,OUTDOOR,172.28.118.76,,,,,,1,,74382-ZGYO172 NECOCLI EL TIGRE,2021-05-03 12:15:09,2021-06-21T09:48:13.818332,,,,,74382-ZGYO172_AP_EXT1,74382-ZGYO172,3.6754755,,,offline
374,,CO,,,W8WE06V42VJ4,wifi-enterprise,,BC:E6:7C:4E:7E:F1,ANTIOQUIA,,,2766360.0,,,,,cnPilot e510,,Point,OUTDOOR,172.28.118.77,,,,,,1,,74382-ZGYO172 NECOCLI EL TIGRE,2021-05-03 12:15:08,2021-06-21T09:48:13.818332,,,,,74382-ZGYO172_AP_EXT2,74382-ZGYO172,-74.509797,,,offline
375,,CO,,74109-ZGYO0755-AP-EXT2,W8WJ0C0PQRZ6,wifi-enterprise,,BC:E6:7C:E7:FC:33,CORDOBA,,,406168.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.51.5,,,,,,,,74109-ZGYO0755-SAHAGUN-LA YE,2021-05-04 16:28:29,2021-06-21T09:48:13.818332,,,,,74109-ZGYO0755-AP-EXT2,74109-ZGYO0755,4.109889,,,offline
376,,CO,,74109-ZGYO0755-AP-INT,W8WK048DW0L5,wifi-enterprise,,BC:E6:7C:EC:A9:9D,CORDOBA,,,947542.0,,,,,cnPilot e410,,Point,INDOOR,172.25.51.3,,,,,,,,74109-ZGYO0755-SAHAGUN-LA YE,2021-05-04 16:30:26,2021-06-21T09:48:13.818332,,,,,74109-ZGYO0755-AP-INT,74109-ZGYO0755,-74.509797,,,offline
377,,CO,,74109-ZGYO0755-AP-EXT1,W8WL03HL2LKG,wifi-enterprise,,BC:A9:93:00:31:2F,CORDOBA,,,405535.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.51.4,,,,,,,,74109-ZGYO0755-SAHAGUN-LA YE,2021-05-04 18:00:22,2021-06-21T09:48:13.818332,,,,,74109-ZGYO0755-AP-EXT1,74109-ZGYO0755,4.109889,,,offline
378,,CO,,,W8TL0D5K692G,wifi-enterprise,,58:C1:7A:0F:30:0F,CESAR,,,3875916.0,,,,,cnPilot e410,,Point,INDOOR,172.25.33.27,,,,,,1,,30626-ZGYO112 GAMARRA	LA ESTACION,2021-05-04 18:47:00,2021-06-21T09:48:13.818332,,,,,30626-ZGYO112-AP-INT,30626-ZGYO112,-74.509797,,,offline
379,,CO,,,W8WF002Q0TLJ,wifi-enterprise,,BC:E6:7C:4F:06:01,CESAR,,,3875952.0,,,,,cnPilot e510,,Point,OUTDOOR,172.25.33.29,,,,,,,,30626-ZGYO112 GAMARRA	LA ESTACION,2021-05-04 18:54:53,2021-06-21T09:48:13.818332,,,,,30626-ZGYO112-AP-EXT-2,30626-ZGYO112,4.109889,,,offline
